Community Code,"Bundesland, Politischer Bezirk, Gemeinde",total population,"Proportion of people
 under 15 years","Proportion of people
 65 years and older",share of non-Austrian citizens,"employment rate
 of 15 to 64 year olds","unemployment rate
 (15 years and older)",Share of people with secondary education,Share of people with tertiary education,Share of commuters in active employment,Number of private households,average household size,Number of families,Companies,Workplaces,Employees in the workplaces
80424,Zwischenwasser,3271,16.2,18,11.7,78.2,2.9,63.3,11.9,87.5,1359,2.37,925,164,178,481
80423,Weiler,2117,16.8,15.2,13.1,80,3,65.9,10.4,84.8,884,2.39,608,161,178,851
80422,Viktorsberg,412,18.2,16.5,9,81.8,1.8,68,11.3,89.4,168,2.45,125,26,29,45
80421,Übersaxen,617,15.9,16.4,6,81.1,1.4,67.8,7.7,85.7,227,2.72,177,32,35,74
80420,Sulz,2586,15.6,16.6,13.4,79.1,3.3,61.2,11.5,81.5,1106,2.33,734,205,223,1175
80419,Schnifis,790,17.7,14.9,7.7,78.8,2.1,65.7,14.3,79.3,289,2.73,216,60,65,184
80418,Schlins,2458,17.7,15.3,17.7,74.3,4.8,61.7,10.6,78.6,965,2.51,714,160,170,1066
80417,Satteins,2743,17,18,9.6,77.9,2.5,60.3,13.5,81.3,1091,2.49,795,168,182,698
80416,Röthis,2093,13.9,18.8,13,78.7,3.8,61.4,13.6,84,909,2.21,582,162,185,1343
80415,Röns,344,16.6,16.9,11.6,79.9,3.2,59.9,16,81.9,133,2.59,102,32,33,86
80414,Rankweil,11901,15.1,18.7,17.1,75,4.3,57.4,11.6,68.4,5051,2.33,3417,779,918,8190
80413,Meiningen,2305,19,13.8,15.3,78.8,3,66.1,8.8,85.8,917,2.51,669,129,144,615
80412,Mäder,4084,18.3,13.9,12.3,79.9,3.1,63.5,9,82.3,1637,2.49,1199,206,230,1558
80411,Laterns,669,17.3,18.8,5.2,80.3,1.7,68.2,6.7,75.7,267,2.51,195,51,61,129
80410,Koblach,4696,16.4,14.3,10.6,78.8,2.9,65.7,10.5,81.7,1897,2.46,1383,322,342,1803
80409,Klaus,3089,15.7,16.5,14,77.3,3.5,60.3,13.9,80.8,1246,2.48,906,217,246,2223
80408,Götzis,11765,15.7,17,19.6,75.8,5.1,55.8,11.5,72.5,5035,2.3,3291,792,905,7138
80407,Göfis,3333,15.5,17.2,10.8,76.6,3.4,62.6,13.8,80.6,1336,2.49,995,201,223,616
80406,Fraxern,712,19.1,13.6,7.2,75.2,2.9,67,12.2,84,256,2.72,209,53,57,91
80405,Frastanz,6495,15.8,17.5,20.2,73.4,4.5,57.2,9.2,74.9,2696,2.38,1814,326,372,2996
80404,Feldkirch,34147,15.5,17.1,21.5,73.8,4.3,56,16.3,59.8,15319,2.2,9286,2024,2379,17345
80403,Dünserberg,141,19.1,14.9,7.8,86,3.5,77.2,3.5,69.9,56,2.52,40,20,20,49
80402,Düns,410,19.5,15.9,5.9,80.4,1.8,67.3,11.8,85.3,154,2.66,120,33,34,51
80401,Altach,6766,16.6,16.2,10.9,78.5,2.8,61.8,11.2,80.3,2795,2.41,1967,444,477,2038
80303,Lustenau,23299,17.3,17.1,19.1,74.7,4.9,54.8,10.1,64.4,9641,2.4,6587,1478,1617,12055
80302,Hohenems,16735,16.7,16.8,20.4,74.3,5.6,54.8,8.9,70.2,6860,2.41,4654,987,1145,7107
80301,Dornbirn,49865,15.6,17.6,19.5,75.2,4.9,54.7,14.9,48.8,22028,2.23,13672,3715,4305,30229
80240,Wolfurt,8566,16,17.5,16.4,76.9,4,60.3,12.8,72.7,3535,2.39,2419,591,689,7399
80239,Warth,167,10.2,17.4,7.8,69.4,16,73.3,5.3,26.1,70,2.39,45,52,56,202
